,timestamp,emotion
0,0.937739372253418,happy
1,0.12765955924987793,happy
2,0.12865567207336426,happy
3,0.12066841125488281,happy
4,0.1426255702972412,happy
5,0.13464045524597168,happy
6,0.14860272407531738,happy
7,0.13364076614379883,happy
8,0.1216738224029541,happy
9,0.12067818641662598,happy
10,0.11569857597351074,happy
11,0.12067794799804688,happy
12,0.12798237800598145,happy
13,0.1465771198272705,happy
14,0.12766003608703613,happy
15,0.12865877151489258,happy
16,0.11668682098388672,happy
17,0.1107025146484375,happy
18,0.12067747116088867,happy
19,0.1196749210357666,happy
20,0.12167549133300781,happy
21,0.17453408241271973,happy
22,0.13164782524108887,happy
23,0.12466120719909668,happy
24,0.1296534538269043,happy
25,0.12865638732910156,happy
26,0.12466645240783691,happy
27,0.1296539306640625,happy
28,0.15858960151672363,happy
29,0.12766003608703613,happy
30,0.12265419960021973,happy
